epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.2068410962820053,0.6885756850242615,0.1732243299484253,3.1411168575286865,0.5532128810882568,0.902265191078186,0.46489417552948,2.407609462738037
1,0.5651940703392029,0.9065988063812256,0.4874197840690613,2.1509408950805664,0.7033132314682007,0.960353672504425,0.6371933817863464,1.8049019575119019
2,0.7389019727706909,0.9683378338813782,0.6903631687164307,1.6799359321594238,0.7650602459907532,0.9767147302627563,0.7244486808776855,1.5625053644180298
3,0.8238258361816406,0.9865775108337402,0.7972776889801025,1.4243948459625244,0.8012048006057739,0.9830966591835022,0.7720437049865723,1.448136329650879
4,0.8751876354217529,0.9935556650161743,0.8593946695327759,1.2774499654769897,0.8177710771560669,0.9862211346626282,0.7951471209526062,1.3909543752670288
5,0.9053184390068054,0.9965216517448425,0.8935970067977905,1.1901140213012695,0.8278112411499023,0.9877392053604126,0.8085428476333618,1.3582236766815186
6,0.9284794926643372,0.9982021450996399,0.9216099381446838,1.1263171434402466,0.8368473649024963,0.9885174036026001,0.8198345303535461,1.3313466310501099
7,0.9484237432479858,0.9986034631729126,0.942413330078125,1.0871608257293701,0.8388554453849792,0.9889672994613647,0.8209739327430725,1.3136290311813354
8,0.9621488451957703,0.9993578195571899,0.957808792591095,1.0489819049835205,0.8408634662628174,0.9894651174545288,0.82197105884552,1.3034980297088623
9,0.9696547389030457,0.9996007680892944,0.9666239619255066,1.0257186889648438,0.843875527381897,0.9894512891769409,0.8265513777732849,1.2953542470932007
10,0.9746944308280945,0.9996959567070007,0.9723998308181763,1.003127932548523,0.8413654565811157,0.9894543290138245,0.8250057101249695,1.2905350923538208
11,0.9781256914138794,0.999850869178772,0.9757499694824219,0.9841707944869995,0.8428714871406555,0.9898427724838257,0.8247464895248413,1.283072829246521
12,0.9850954413414001,0.9999000430107117,0.9835406541824341,0.9682928323745728,0.8468875288963318,0.9898361563682556,0.8303360939025879,1.2764606475830078
13,0.9875616431236267,0.9999356269836426,0.9859093427658081,0.9570435881614685,0.845381498336792,0.9896783232688904,0.8281686305999756,1.2702970504760742
14,0.9905639886856079,0.999956488609314,0.9895097613334656,0.9451607465744019,0.8478915691375732,0.9898516535758972,0.8315383195877075,1.2641892433166504
15,0.9927085638046265,0.9999758005142212,0.991855800151825,0.9318592548370361,0.843875527381897,0.9895867109298706,0.8276324272155762,1.2605997323989868
16,0.9928157925605774,0.9999699592590332,0.9922180771827698,0.9242223501205444,0.8478915691375732,0.9895443916320801,0.8317201733589172,1.2590445280075073
17,0.9956036806106567,0.9999814033508301,0.994853138923645,0.9133234024047852,0.843875527381897,0.9897525906562805,0.8270815014839172,1.2548813819885254
18,0.9962470531463623,0.9999911189079285,0.995667576789856,0.904998779296875,0.8448795080184937,0.9895372986793518,0.8281993865966797,1.2537953853607178
19,0.9953892230987549,0.999990701675415,0.9946793913841248,0.9002947211265564,0.8468875288963318,0.9893576502799988,0.8304638862609863,1.247525691986084
20,0.9981771111488342,0.9999976754188538,0.99806147813797,0.8892787098884583,0.845381498336792,0.9896610975265503,0.8282371759414673,1.2451058626174927
21,0.9963542819023132,0.9999935030937195,0.9957237243652344,0.8875276446342468,0.8458835482597351,0.9894261360168457,0.8292788863182068,1.2410701513290405
22,0.9981771111488342,0.9999985694885254,0.9979657530784607,0.8799082636833191,0.8463855385780334,0.9896512031555176,0.8299314975738525,1.2409803867340088
23,0.9987132549285889,0.9999983310699463,0.9985283613204956,0.87531578540802,0.845381498336792,0.9894239902496338,0.8283489346504211,1.2360358238220215
24,0.9981771111488342,0.9999974966049194,0.9980232119560242,0.8680431842803955,0.8448795080184937,0.9893031120300293,0.8278882503509521,1.2331953048706055
25,0.9990349411964417,0.9999978542327881,0.9989134669303894,0.8613835573196411,0.8463855385780334,0.9894115328788757,0.830109715461731,1.230560541152954
26,0.9983915686607361,0.9999978542327881,0.9981135725975037,0.8605396151542664,0.843875527381897,0.9896188974380493,0.8270975351333618,1.2276606559753418
27,0.9987132549285889,0.9999994039535522,0.9986445307731628,0.8547752499580383,0.845381498336792,0.9890914559364319,0.8293827772140503,1.2263482809066772
