epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.0675530806183815,0.5079343914985657,0.040887705981731415,3.1684772968292236,0.07881525903940201,0.5262132883071899,0.05015714094042778,3.128814935684204
1,0.11784259229898453,0.5332500338554382,0.058258283883333206,3.0803918838500977,0.15210843086242676,0.5864493250846863,0.07716016471385956,3.0137979984283447
2,0.17413681745529175,0.5678185820579529,0.0723557397723198,2.9972903728485107,0.2083333283662796,0.6587586402893066,0.10178112238645554,2.902717113494873
3,0.20426763594150543,0.5972450375556946,0.08310583233833313,2.9370672702789307,0.24447791278362274,0.7198135256767273,0.11838497221469879,2.8144006729125977
4,0.2267853319644928,0.6271146535873413,0.0950552299618721,2.8778574466705322,0.26656627655029297,0.7618079781532288,0.1354980319738388,2.7382123470306396
5,0.25230538845062256,0.6445654034614563,0.11524777859449387,2.8289968967437744,0.28915661573410034,0.793185830116272,0.1554652899503708,2.673967123031616
6,0.2657087743282318,0.6620482802391052,0.12997843325138092,2.7872445583343506,0.30622491240501404,0.8148998022079468,0.17794689536094666,2.621007204055786
7,0.2765386998653412,0.6699358820915222,0.13952653110027313,2.7597506046295166,0.3207831382751465,0.8282811641693115,0.195599764585495,2.5794801712036133
8,0.2841518223285675,0.6794018745422363,0.1460813581943512,2.7344255447387695,0.33433735370635986,0.8388237357139587,0.2147473841905594,2.547269105911255
9,0.2974480092525482,0.6859955787658691,0.16154612600803375,2.711141586303711,0.3453815281391144,0.8454898595809937,0.22940708696842194,2.52331280708313
10,0.3045249879360199,0.6889722943305969,0.16910946369171143,2.6959662437438965,0.3534136414527893,0.8496299386024475,0.236996129155159,2.506019353866577
11,0.3018442988395691,0.6913606524467468,0.16794928908348083,2.693232297897339,0.3564257025718689,0.8530372381210327,0.24237918853759766,2.494887590408325
12,0.3049539029598236,0.6916959285736084,0.17366059124469757,2.6914560794830322,0.3599397540092468,0.8548404574394226,0.24717219173908234,2.4884285926818848
13,0.3132103681564331,0.6940450072288513,0.1809733808040619,2.679049491882324,0.3599397540092468,0.855222761631012,0.24717219173908234,2.48551082611084
14,0.3078490197658539,0.6922433972358704,0.17517954111099243,2.68538236618042,0.3599397540092468,0.8554022312164307,0.24709750711917877,2.484783172607422
