epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.10030068457126617,0.5656171441078186,0.08730266243219376,3.0947413444519043,0.44026103615760803,0.8953249454498291,0.4123639762401581,2.2931346893310547
1,0.13466495275497437,0.6014435887336731,0.12008826434612274,3.047515630722046,0.5190762877464294,0.9277574419975281,0.4941350221633911,2.035792827606201
2,0.13756443560123444,0.5992435216903687,0.12597426772117615,3.07540225982666,0.531124472618103,0.9281438589096069,0.5143607258796692,1.9726779460906982
3,0.14647766947746277,0.603426992893219,0.1357944905757904,3.073354482650757,0.5085341334342957,0.9309211373329163,0.504493236541748,1.9627312421798706
4,0.15023624897003174,0.6031570434570312,0.13762646913528442,3.073427677154541,0.5737951993942261,0.9356609582901001,0.5441742539405823,1.8536436557769775
5,0.15625,0.6095403432846069,0.1424366980791092,3.0508792400360107,0.6039156913757324,0.9428151845932007,0.5761154294013977,1.8292443752288818
6,0.1539948433637619,0.607193648815155,0.13963086903095245,3.0533082485198975,0.6305220723152161,0.9447474479675293,0.5938997864723206,1.782536268234253
7,0.1531357318162918,0.6066533923149109,0.1369180530309677,3.043893814086914,0.6229919791221619,0.9465647339820862,0.5970247387886047,1.8054311275482178
8,0.17053264379501343,0.615585446357727,0.155337855219841,3.0051302909851074,0.6330321431159973,0.9493811130523682,0.6073030233383179,1.7734706401824951
9,0.1711769700050354,0.6164179444313049,0.15444664657115936,2.99424147605896,0.6405622363090515,0.9511550664901733,0.620783269405365,1.7610214948654175
10,0.17439863085746765,0.6195118427276611,0.1586756557226181,2.979443073272705,0.6586345434188843,0.952531635761261,0.6370170712471008,1.7522097826004028
11,0.1866408884525299,0.6213199496269226,0.1669268012046814,2.9573638439178467,0.6691766977310181,0.9532981514930725,0.6455069780349731,1.7371338605880737
12,0.1779424399137497,0.6173727512359619,0.16267378628253937,2.9642574787139893,0.6681727170944214,0.9547261595726013,0.6483150124549866,1.7336030006408691
13,0.17815721035003662,0.6214017271995544,0.16318915784358978,2.962543487548828,0.6691766977310181,0.955483615398407,0.6453590393066406,1.728398084640503
