epoch,loss,accuracy,f1,val_loss,val_accuracy,val_f1,lr
43,0.5031027845091017,0.98679125,0.9870054,1.2544123305687829,0.6616466,0.623428,0.0002813463397705723
44,0.5007659171250268,0.9859321,0.98622274,1.1992430592340135,0.67469877,0.637974,0.000257724564833675
45,0.4954867155076712,0.9885095,0.9891427,1.235019483027004,0.6646586,0.62474394,0.0002347895459401288
46,0.4923727137526286,0.99130154,0.99092084,1.1865333782302008,0.685743,0.65443903,0.0002126062948927966
47,0.48872789208012346,0.9909794,0.991073,1.193288232598986,0.6782129,0.64648294,0.0001912376925269041
48,0.4833146808893001,0.99194586,0.9923157,1.1859301688179138,0.6782129,0.6460064,0.00017074431046748073
49,0.480560083364703,0.99151635,0.99174505,1.1647734571070898,0.6802209,0.6429764,0.0001511842394325077
50,0.4781716530470504,0.99248284,0.9926266,1.1773779103680262,0.688253,0.655159,0.00013261292456846646
51,0.47703753939199284,0.99087197,0.99138623,1.1763081808411886,0.6736948,0.6412319,0.00011508300828504681
52,0.4723319001623855,0.99452317,0.9948298,1.203082650190308,0.6681727,0.6255287,9.864418103451828e-05
53,0.4703842589945318,0.99398625,0.99422073,1.1704849430492945,0.67921686,0.64698374,8.334304045874247e-05
54,0.4687061264752522,0.9948454,0.99466026,1.1634464027389648,0.687751,0.653753,6.922295930309692e-05
55,0.4682433885807024,0.9953823,0.99542683,1.1687149202066756,0.6962851,0.666069,5.632396247171428e-05
56,0.47100458778056903,0.9958119,0.9958458,1.1735859562953312,0.686747,0.653862,4.468261357254338e-05
57,0.46849323732336773,0.9959192,0.9960765,1.1747307621297383,0.68624496,0.64894444,3.433191127383078e-05
58,0.46951763961733,0.9954897,0.9959111,1.1687328200491647,0.688253,0.6551197,2.530119576580936e-05
59,0.4743254182674631,0.99506015,0.99495,1.1857421284630185,0.69026107,0.6535686,1.7616065592742035e-05
60,0.47851834786716607,0.99516755,0.9952213,1.199712330859805,0.6832329,0.64835024,1.1298305091066662e-05
61,0.487276756374287,0.994738,0.9948622,1.2160035844833132,0.687751,0.6537705,6.365822639327723e-06
62,0.5057767161593814,0.99291235,0.9929322,1.256710397818732,0.686747,0.6510078,2.8325998949314534e-06
63,0.5383382052490392,0.9925902,0.99332935,1.335980483936885,0.6812249,0.6408097,7.086521616190278e-07
