epoch,loss,accuracy,f1,val_loss,val_accuracy,val_f1,lr
0,1.8719722573290165,0.21724656,0.13868152,2.579501996910761,0.2555221,0.15546222,0.0002
1,1.7494695399635027,0.26761168,0.18460016,2.3841990743364607,0.29066265,0.21780348,0.0004
2,1.664864192303923,0.30809706,0.22451232,2.389905143824835,0.29769075,0.20605046,0.0006000000000000001
3,1.5998400117933136,0.3408505,0.25250798,2.459441620206076,0.3007028,0.20603006,0.0008
4,1.5384968150522291,0.37446305,0.28778747,2.213429047001733,0.3554217,0.284491,0.001
5,1.470035663994727,0.40775344,0.32251722,2.1139219204584756,0.39407632,0.31401712,0.001
6,1.420844136234821,0.42772767,0.34559348,2.039500331121778,0.4176707,0.33120874,0.000999291347838381
7,1.3682390979884826,0.45199743,0.37560952,2.6851989179849625,0.26706827,0.21064,0.0009971674001050686
8,1.319520836843248,0.4872208,0.41652146,1.9930017538486966,0.42068273,0.3371927,0.0009936341773606723
9,1.2781778842313183,0.5031143,0.43862438,1.7676485682290697,0.48393574,0.4057078,0.0009887016949089334
10,1.2477559740191062,0.51997423,0.4604274,2.0182869765493603,0.41516066,0.37414518,0.000982383934407258
11,1.2199523670157206,0.54295534,0.4834366,1.6821924154720609,0.53413653,0.49133515,0.0009746988042341906
12,1.1828780454868304,0.55745274,0.50228983,1.9133063630452232,0.4497992,0.3894205,0.0009656680887261692
13,1.1699370944622867,0.5635739,0.5085757,1.6064077473822094,0.53815264,0.48442712,0.0009553173864274567
14,1.1326020474696077,0.58719933,0.5348742,1.6866215798589919,0.5090361,0.45026386,0.0009436760375282858
15,1.0985223822986956,0.5989046,0.54872036,1.6449700144548265,0.5416667,0.46477592,0.000930777040696903
16,1.080259158029589,0.6064218,0.5579882,2.1364187423198944,0.39307228,0.33938718,0.0009166569595412575
17,1.0524346426999855,0.62940294,0.58579546,1.8931728875826275,0.47740963,0.43629977,0.0009013558189654818
18,1.0180689973110186,0.6488402,0.60684747,1.7397089808706254,0.49799198,0.4654412,0.0008849169917149531
19,1.0028656651473946,0.6572165,0.6180068,1.5052223281254844,0.5788153,0.52962667,0.0008673870754315336
20,0.9680581799487478,0.68417096,0.6491584,1.886148610758403,0.45783132,0.40740418,0.0008488157605674924
21,0.9376107454299927,0.69920534,0.6635744,1.702654671101343,0.5070281,0.45380276,0.0008292556895325194
22,0.9045812948462889,0.7228308,0.6938854,1.4933889120344133,0.560743,0.5150223,0.000808762307473096
23,0.8649327455927006,0.74387884,0.717658,1.4198583955802615,0.6044177,0.56689227,0.0007873937051072035
24,0.8372355924848839,0.7620275,0.7390258,1.3763333161671956,0.61495984,0.57875174,0.0007652104540598712
25,0.799245019548947,0.7912371,0.771706,1.5481097925276983,0.55672693,0.53281367,0.0007422754351663251
26,0.7603006733651833,0.8244201,0.80891544,1.4473145282457744,0.5943775,0.5611194,0.0007186536602294277
27,0.7205811634506147,0.85180414,0.8396125,1.4006053493136452,0.6124498,0.5772888,0.0006944120877366604
28,0.6887202414450367,0.87253004,0.863691,1.4753678933022514,0.5768072,0.5386044,0.0006696194330590151
29,0.6583224811504796,0.89465207,0.8874316,1.3109178245067596,0.62650603,0.58806014,0.0006443459736698105
30,0.632854553432399,0.9104381,0.9059493,1.8859236860086048,0.48594376,0.4630237,0.0006186633499355575
31,0.610517139696993,0.9271907,0.92405736,1.483666705706763,0.5898594,0.5580042,0.0005926443620435572
32,0.5951014147796172,0.9426546,0.9405363,1.38111650234177,0.6069277,0.56202555,0.0005663627636418611
33,0.5783662512335171,0.95081615,0.94943684,1.30729413079837,0.6310241,0.5984868,0.0005398930527765415
34,0.564411193234814,0.96112543,0.9612965,1.3553727236058977,0.62751,0.6034225,0.0005133102607188875
35,0.5544989032229197,0.9640249,0.9625183,1.3137215418475015,0.63955826,0.6000646,0.0004866897392811127
36,0.5458606051415512,0.9666022,0.9656453,1.3694269808511885,0.6129518,0.5754111,0.0004601069472234584
37,0.532682490205437,0.9787371,0.97885615,1.6582924468176705,0.5431727,0.51118356,0.00043363723635813907
38,0.531065114789812,0.9741194,0.97367877,1.29075683109344,0.64658636,0.60934645,0.0004073556379564429
39,0.5272952862007102,0.9779854,0.97801584,1.3183175580842155,0.62148595,0.58145267,0.00038133665006444257
40,0.5183736872427243,0.9824957,0.98275423,1.309291361343293,0.63353413,0.602032,0.0003556540263301896
41,0.5107593660297263,0.9848583,0.9840436,1.2712150864184848,0.6571285,0.6323511,0.00033038056694098485
42,0.508926613429158,0.9842139,0.9844034,1.2342313088121868,0.65863454,0.6221791,0.0003055879122633397
