epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.07312888652086258,0.5023967623710632,0.036042261868715286,3.1686205863952637,0.10291164368391037,0.5339511632919312,0.030782386660575867,3.0844955444335938
1,0.09468153864145279,0.5142601132392883,0.0365128256380558,3.1174678802490234,0.13805221021175385,0.5934261679649353,0.03666946291923523,3.020857334136963
2,0.11323182284832001,0.5338565111160278,0.038854967802762985,3.07251238822937,0.17670682072639465,0.664509654045105,0.05225662514567375,2.958137035369873
3,0.13821573555469513,0.5527166724205017,0.05084400251507759,3.034256935119629,0.20130522549152374,0.7146770358085632,0.06197609007358551,2.904060125350952
4,0.15826721489429474,0.5706397294998169,0.06055658683180809,2.996783494949341,0.22289156913757324,0.7499781250953674,0.07071896642446518,2.8554325103759766
5,0.1751018613576889,0.5867969393730164,0.06767132133245468,2.9701967239379883,0.24648594856262207,0.7767322659492493,0.0920935720205307,2.8140556812286377
6,0.18925584852695465,0.5985106825828552,0.07363800704479218,2.938030242919922,0.2560240924358368,0.794284462928772,0.10574883222579956,2.778649091720581
7,0.1962255984544754,0.6132991909980774,0.08168925344944,2.917025566101074,0.2635542154312134,0.8066198229789734,0.110702745616436,2.7495644092559814
8,0.20437486469745636,0.6176983118057251,0.0872892215847969,2.9001080989837646,0.2715863585472107,0.8159131407737732,0.121113121509552,2.725897789001465
9,0.21198798716068268,0.6241639852523804,0.09695464372634888,2.8843138217926025,0.2761044204235077,0.822263240814209,0.12764358520507812,2.7080037593841553
10,0.21638430655002594,0.6243443489074707,0.10041145980358124,2.878041982650757,0.2826305329799652,0.8266194462776184,0.13496896624565125,2.6951920986175537
11,0.21788547933101654,0.6269670724868774,0.09803086519241333,2.8724162578582764,0.28765061497688293,0.8288199305534363,0.1403592824935913,2.6869091987609863
12,0.2237829715013504,0.6319140791893005,0.10097884386777878,2.8592898845672607,0.28915661573410034,0.8301973938941956,0.14318278431892395,2.6819357872009277
13,0.22088783979415894,0.6312848329544067,0.10353218764066696,2.863811492919922,0.28915661573410034,0.8310563564300537,0.14278236031532288,2.679760694503784
14,0.22088783979415894,0.6322916150093079,0.10467129945755005,2.86112904548645,0.28915661573410034,0.8310799598693848,0.14276179671287537,2.679208755493164
