epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.6333905458450317,0.7869154810905457,0.5285923480987549,2.0412018299102783,0.7354417443275452,0.9721447229385376,0.7162036299705505,1.4629796743392944
1,0.6670598387718201,0.7891624569892883,0.5613700747489929,1.952193260192871,0.7530120611190796,0.9757972359657288,0.7353909611701965,1.4084627628326416
2,0.6870040893554688,0.7943982481956482,0.5758850574493408,1.9246735572814941,0.7620481848716736,0.9782193899154663,0.7454253435134888,1.3715749979019165
3,0.701265275478363,0.7930660843849182,0.5987798571586609,1.8559701442718506,0.775602400302887,0.9798616170883179,0.7583492398262024,1.3305354118347168
4,0.7118807435035706,0.7988796234130859,0.6007440686225891,1.8599693775177002,0.7846385836601257,0.9807747602462769,0.7659923434257507,1.3132600784301758
5,0.7308599352836609,0.8030543327331543,0.6179907917976379,1.8190134763717651,0.7936747074127197,0.9819923043251038,0.7754100561141968,1.2945616245269775
6,0.7326828241348267,0.8079072833061218,0.6145325303077698,1.8271712064743042,0.8007028102874756,0.9830098152160645,0.7837613821029663,1.277183175086975
7,0.7526270747184753,0.8025341033935547,0.6380363702774048,1.776612401008606,0.8042168617248535,0.9837505221366882,0.7879961133003235,1.2609399557113647
8,0.7650654315948486,0.8071597814559937,0.6482988595962524,1.7637457847595215,0.8057228922843933,0.9843035340309143,0.7894635200500488,1.2401924133300781
9,0.7709628939628601,0.8054547309875488,0.6546762585639954,1.7380226850509644,0.814257025718689,0.9848135113716125,0.7996036410331726,1.2322766780853271
10,0.7770748734474182,0.8050296902656555,0.6554403901100159,1.7331105470657349,0.819779098033905,0.9853001236915588,0.8047215938568115,1.2195751667022705
11,0.7853313088417053,0.8053874373435974,0.6692358255386353,1.7140849828720093,0.819779098033905,0.9858347177505493,0.8035035133361816,1.213133692741394
12,0.8035599589347839,0.8069260716438293,0.6862237453460693,1.6726053953170776,0.819779098033905,0.9866346120834351,0.8032711148262024,1.1918258666992188
13,0.8049538731575012,0.8143216967582703,0.6824321746826172,1.6809808015823364,0.8258032202720642,0.9867326617240906,0.8089224696159363,1.1875895261764526
14,0.8105297088623047,0.8083288073539734,0.685947835445404,1.6846202611923218,0.8278112411499023,0.9870263934135437,0.8117370009422302,1.1786028146743774
15,0.824683666229248,0.8072490692138672,0.7046855688095093,1.6400175094604492,0.8313252925872803,0.9872694611549377,0.8153669238090515,1.1740132570266724
16,0.813424825668335,0.8130289316177368,0.6892129778862,1.6692448854446411,0.8323293328285217,0.9873099327087402,0.8171849250793457,1.1667956113815308
17,0.8239330649375916,0.8113418221473694,0.6959868669509888,1.6504313945770264,0.8338353633880615,0.9878594875335693,0.8194703459739685,1.1616483926773071
18,0.8344413638114929,0.8137763738632202,0.7093251943588257,1.623690128326416,0.8383533954620361,0.9878280758857727,0.8243952393531799,1.1542383432388306
