epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,0.47383660078048706,0.8994258642196655,0.460681676864624,2.1656417846679688,0.6475903391838074,0.9617825150489807,0.633368730545044,1.7008485794067383
1,0.646257758140564,0.9610587358474731,0.6397783756256104,1.6762851476669312,0.6887550950050354,0.9687009453773499,0.675984263420105,1.6161993741989136
2,0.7548788189888,0.9820219278335571,0.7523530125617981,1.4089386463165283,0.715361475944519,0.9719229340553284,0.7027875185012817,1.56260347366333
3,0.8103152513504028,0.9897696375846863,0.8109837770462036,1.2856301069259644,0.7158635258674622,0.970748245716095,0.7037975788116455,1.5533374547958374
4,0.8503109216690063,0.9940043091773987,0.8531506061553955,1.190883994102478,0.7259036898612976,0.9704713821411133,0.7112159132957458,1.5494507551193237
5,0.8726141452789307,0.9954596161842346,0.8753623962402344,1.1476421356201172,0.7093374133110046,0.9693719148635864,0.6971964836120605,1.5827300548553467
6,0.8951318860054016,0.9970123767852783,0.8986086249351501,1.102038860321045,0.7294177412986755,0.9735473394393921,0.7148221731185913,1.5135905742645264
7,0.9159339070320129,0.9981849789619446,0.9183842539787292,1.0559946298599243,0.7369478344917297,0.9713829755783081,0.7240555286407471,1.5350333452224731
8,0.9328758120536804,0.9987670183181763,0.9356646537780762,1.0209765434265137,0.7469879984855652,0.9710530042648315,0.7326038479804993,1.5134817361831665
9,0.9466008543968201,0.9991916418075562,0.9493571519851685,0.9843188524246216,0.7500000596046448,0.9745927453041077,0.7363141179084778,1.4822698831558228
10,0.9634355306625366,0.9994991421699524,0.9654779434204102,0.9473500847816467,0.7494980692863464,0.9738251566886902,0.7332091331481934,1.4657212495803833
11,0.9678318500518799,0.9997080564498901,0.9696559309959412,0.9229766726493835,0.7585341930389404,0.9741367101669312,0.7429776787757874,1.4413198232650757
12,0.980484664440155,0.999821126461029,0.9817305207252502,0.8850163817405701,0.7695783972740173,0.9739668369293213,0.7533590197563171,1.4123486280441284
13,0.9848809242248535,0.9998986124992371,0.9865275621414185,0.8594828248023987,0.7725903987884521,0.9764577150344849,0.7571221590042114,1.380281925201416
14,0.9912073612213135,0.99996018409729,0.9921358823776245,0.8313235640525818,0.7690763473510742,0.9781434535980225,0.7494478821754456,1.3591288328170776
15,0.9926012754440308,0.9999724626541138,0.9932390451431274,0.8112528920173645,0.7751004695892334,0.9781084656715393,0.759229838848114,1.3369176387786865
16,0.9962470531463623,0.9999892115592957,0.9966197609901428,0.7940738201141357,0.7876506447792053,0.9788097739219666,0.7700266242027283,1.3220710754394531
17,0.9977481961250305,0.9999943971633911,0.9980765581130981,0.782936155796051,0.7921687364578247,0.9794792532920837,0.7738655209541321,1.3098863363265991
18,0.9965686798095703,0.9999949336051941,0.9968699216842651,0.785774827003479,0.7886546850204468,0.9796733856201172,0.7700116634368896,1.3154023885726929
19,0.9973192811012268,0.9999925494194031,0.9976906180381775,0.8106644749641418,0.7876506447792053,0.9796429872512817,0.7700152397155762,1.349020004272461
